,source,dtype,Nancount,DataPerc,Zerocount,count,mean,std,min,25%,50%,75%,max
Ignored_Strong ICell ID,MobileInsight,float64,12131,77.19693979,41068,41068,0,0,0,0,0,0,0
Ignored_Qice Enable Mode,MobileInsight,float64,12131,77.19693979,181,41068,0.995059705,0.067996467,0,1,1,1,1
Ignored_Qice Skip Reason,MobileInsight,float64,12131,77.19693979,41068,41068,0,0,0,0,0,0,0
Ignored_Csf Dual Rnn Sel,MobileInsight,float64,12131,77.19693979,41068,41068,0,0,0,0,0,0,0
Ignored_Plq Num Enabled Rd Groups,MobileInsight,float64,12131,77.19693979,41068,41068,0,0,0,0,0,0,0
Ignored_Plg Num Loaded Rb Groups,MobileInsight,float64,12131,77.19693979,40514,41068,0.056908673,0.687328453,0,0,0,0,16
Ignored_Qed Mode,MobileInsight,float64,12131,77.19693979,29615,41068,0.095689716,0.201583249,0,0,0,0.076923077,1
index_rs_intra_all,MobileInsight,float64,11851,77.72326547,0,41348,34725.63234,27590.53303,0.5,14051.75,28136,46541.5,122469.5
log_msg_len_rs_intra_all,MobileInsight,float64,11851,77.72326547,0,41348,40.0300192,0.501724213,40,40,40,40,54.66666667
Version_rs_intra_all,MobileInsight,float64,11851,77.72326547,0,41348,4,0,4,4,4,4,4
E-ARFCN,MobileInsight,float64,11851,77.72326547,0,41348,45490,0,45490,45490,45490,45490,45490
serving_cell_id,MobileInsight,float64,11851,77.72326547,0,41348,6,0,6,6,6,6,6
Sub-frame Number,MobileInsight,float64,11851,77.72326547,0,41348,5122.186778,2669.126131,141,2791,5125,7446.25,10021
RSRP(dBm),MobileInsight,float64,11851,77.72326547,0,41348,-113.3064275,7.715711632,-133.9034091,-119.43,-115.65,-108.099375,-92.7475
RSRQ(dB),MobileInsight,float64,11851,77.72326547,0,41348,-9.926468029,2.173316938,-21.78977273,-11.5575,-9.9725,-8.135,-5.2975
Number of Neighbor Cells,MobileInsight,float64,11851,77.72326547,41143,41348,0.002111086,0.039689008,0,0,0,0,1
Number of Detected Cells,MobileInsight,float64,11851,77.72326547,41106,41348,0.000291819,0.004224479,0,0,0,0,0.166666667
device_id,Manual,float64,2941,94.4717006,0,50258,1,0,1,1,1,1,1
meas_id,Manual,float64,2941,94.4717006,50258,50258,0,0,0,0,0,0,0
cell_load_UL,Manual,float64,33539,36.95558187,472,19660,9266302.165,4553075.844,0,6150000,9175000,11600000,19100000
UE_UL,Manual,float64,2941,94.4717006,0,50258,1,0,1,1,1,1,1
cell_load_DL,Manual,float64,29851,43.88804301,335,23348,14480733.9,8234347.319,0,8937500,12900000,19100000,67100000
UE_DL,,float64,2941,94.4717006,0,50258,1,0,1,1,1,1,1
delay_mean_DL,TCPDump,float64,30445,42.77148067,0,22754,1.509473169,1.481604501,0.009857,0.651706358,1.403415845,2.079177436,97.5357617
delay_std_DL,TCPDump,float64,30447,42.7677212,0,22752,0.058574014,0.072575625,1.41E-06,0.020612767,0.042659249,0.07720355,2.426375698
delay_mean_UL,TCPDump,float64,34228,35.66044475,0,18971,0.910840094,6.844649464,0.011957,0.223566553,0.362500617,0.578650213,351.6403833
delay_std_UL,TCPDump,float64,34310,35.50630651,0,18889,0.164164701,1.480430801,0.004646515,0.058802899,0.107361973,0.13875282,93.77507281
position_x,ROS,float64,4419,91.69345288,0,48780,-1.935033075,4.31428349,-15.29865679,-3.505989946,-1.303988297,1.258772522,4.827095731
position_y,ROS,float64,4419,91.69345288,0,48780,8.477562068,10.91745204,-15.0031279,-0.838616456,9.222030517,19.24549751,20.95381415
position_z,ROS,float64,4419,91.69345288,0,48780,-0.614272148,0.083912496,-1.073818707,-0.61566917,-0.600524798,-0.575479173,-0.556394069
orientation_x,ROS,float64,4419,91.69345288,0,48780,0.003459149,0.005525545,-0.02794051,0.001397962,0.002748489,0.004232943,0.047784978
orientation_y,ROS,float64,4419,91.69345288,0,48780,-0.001168552,0.005435149,-0.044064154,-0.002539249,-0.000572704,0.00147369,0.015291728
orientation_z,ROS,float64,4419,91.69345288,0,48780,0.02922742,0.616168308,-0.999928021,-0.600529683,0.087053224,0.75344658,0.999995644
